batch_id,final_quality_grade,final_moisture_content,total_processing_time_hr,total_loss_kg,yield_percent,broken_rice_percent,contamination_flag,risk_level,anomaly_flag,traceability_complete_flag,outcome_timestamp
BATCH-2025-0001,medium,12.71,465.98,704.47,58.86,9.67,1,medium,0,1,2025-04-14T17:26:49+07:00
BATCH-2025-0002,substandard,13.97,333.83,2452.6,58.18,25.73,1,high,0,0,2025-05-27T13:39:01+07:00
BATCH-2025-0003,substandard,14.3,457.24,1373.29,49.0,31.04,0,high,1,0,2025-07-06T06:45:07+07:00
BATCH-2025-0004,substandard,15.06,454.3,2264.43,52.64,20.99,1,medium,0,1,2025-08-07T07:40:56+07:00
BATCH-2025-0005,premium,11.63,445.31,566.57,61.78,16.56,0,low,0,1,2025-02-10T15:26:53+07:00
BATCH-2025-0006,substandard,15.23,455.04,2403.83,53.36,25.87,1,high,0,1,2025-05-13T11:17:14+07:00
BATCH-2025-0007,medium,14.31,273.93,1450.44,57.19,19.68,0,low,0,1,2025-04-11T19:01:34+07:00
BATCH-2025-0008,substandard,15.46,508.0,819.29,50.16,29.64,0,high,1,0,2025-02-12T09:32:55+07:00
BATCH-2025-0009,substandard,16.2,561.56,1652.71,49.26,28.5,0,high,1,0,2025-03-07T19:14:23+07:00
BATCH-2025-0010,substandard,15.61,431.08,2626.27,53.86,18.97,1,high,0,0,2025-05-10T16:11:31+07:00
BATCH-2025-0011,substandard,15.09,451.45,2438.01,51.92,31.8,1,high,1,0,2025-02-12T21:15:59+07:00
BATCH-2025-0012,medium,14.51,323.37,1966.94,52.57,24.25,1,medium,0,1,2025-02-26T06:05:23+07:00
BATCH-2025-0013,medium,14.28,409.23,1322.65,58.65,15.18,0,low,0,1,2025-06-25T06:54:01+07:00
BATCH-2025-0014,substandard,16.27,586.26,2462.07,55.34,25.64,1,high,1,0,2025-06-28T14:46:23+07:00
BATCH-2025-0015,medium,13.14,302.94,2174.17,52.92,19.37,0,low,0,1,2025-06-06T20:41:20+07:00
BATCH-2025-0016,medium,14.08,422.08,1652.56,53.47,20.0,0,low,0,1,2025-07-13T23:00:56+07:00
BATCH-2025-0017,medium,14.16,426.41,981.47,53.47,24.44,0,medium,1,1,2025-03-16T01:05:53+07:00
BATCH-2025-0018,substandard,16.71,532.53,1215.23,52.01,29.26,1,high,1,0,2025-07-27T21:38:40+07:00
BATCH-2025-0019,substandard,14.03,335.31,1911.45,60.82,28.23,0,medium,0,1,2025-02-04T03:52:45+07:00
BATCH-2025-0020,premium,13.2,339.18,2111.07,59.69,13.06,0,low,0,1,2025-06-20T01:47:51+07:00
BATCH-2025-0021,premium,13.57,393.52,2394.92,57.66,17.23,0,low,0,1,2025-05-10T23:16:59+07:00
BATCH-2025-0022,premium,12.57,264.73,754.74,57.1,15.43,0,low,0,1,2025-05-04T16:43:44+07:00
BATCH-2025-0023,substandard,14.53,465.22,2347.17,53.11,28.51,1,high,0,1,2025-06-06T23:55:13+07:00
BATCH-2025-0024,substandard,16.85,511.37,775.91,53.35,32.44,1,high,1,1,2025-03-22T21:22:56+07:00
BATCH-2025-0025,medium,13.77,510.59,798.42,51.56,20.77,1,high,1,0,2025-07-19T20:09:12+07:00
BATCH-2025-0026,medium,12.55,360.56,1502.37,52.21,23.95,1,medium,0,1,2025-05-30T12:55:32+07:00
BATCH-2025-0027,medium,13.33,304.98,1587.4,56.93,20.18,0,low,0,0,2025-04-03T17:39:59+07:00
BATCH-2025-0028,substandard,15.32,472.92,1379.77,56.34,30.54,1,high,0,1,2025-03-12T12:19:22+07:00
BATCH-2025-0029,substandard,13.87,458.97,1333.76,50.49,30.91,0,medium,1,0,2025-05-18T03:53:13+07:00
BATCH-2025-0030,substandard,13.68,376.11,1938.08,58.76,27.99,0,low,0,1,2025-06-23T23:10:39+07:00
BATCH-2025-0031,substandard,12.16,244.43,2663.12,54.75,28.21,0,low,0,1,2025-02-16T09:22:04+07:00
BATCH-2025-0032,medium,14.02,280.06,2007.64,56.17,24.51,0,low,0,1,2025-07-11T01:56:25+07:00
BATCH-2025-0033,substandard,15.2,445.27,2707.96,55.18,18.66,1,high,1,1,2025-03-26T04:35:23+07:00
BATCH-2025-0034,premium,13.7,353.15,1978.24,55.98,17.31,0,low,0,1,2025-03-21T13:51:09+07:00
BATCH-2025-0035,substandard,13.28,438.79,1737.86,53.57,34.0,1,high,1,1,2025-07-24T02:11:22+07:00
BATCH-2025-0036,substandard,16.02,604.48,2143.07,50.96,24.41,1,high,1,1,2025-03-21T08:13:49+07:00
BATCH-2025-0037,substandard,13.46,493.99,1331.19,54.25,33.85,0,medium,0,1,2025-04-06T20:29:23+07:00
BATCH-2025-0038,substandard,15.83,659.98,2160.1,49.0,25.75,1,high,1,1,2025-06-05T06:33:59+07:00
BATCH-2025-0039,substandard,15.19,494.58,772.88,53.25,27.24,1,high,0,0,2025-03-18T19:00:56+07:00
BATCH-2025-0040,medium,13.96,199.36,691.44,53.63,24.3,0,low,0,1,2025-02-03T10:45:32+07:00
BATCH-2025-0041,medium,14.96,485.02,834.83,50.62,24.05,0,medium,1,1,2025-05-17T17:29:07+07:00
BATCH-2025-0042,substandard,12.71,372.42,1670.89,56.29,28.28,0,medium,0,1,2025-03-17T09:48:02+07:00
BATCH-2025-0043,substandard,16.3,404.16,1306.31,52.82,26.53,1,high,0,0,2025-05-10T07:11:25+07:00
BATCH-2025-0044,medium,14.23,572.17,1641.78,53.1,23.6,0,medium,0,0,2025-06-11T04:51:56+07:00
BATCH-2025-0045,substandard,16.04,466.89,1570.37,54.81,22.29,0,medium,1,1,2025-03-06T17:43:33+07:00
BATCH-2025-0046,substandard,15.06,370.29,1556.6,53.85,20.77,0,medium,0,1,2025-05-28T12:02:14+07:00
BATCH-2025-0047,medium,13.26,310.98,1602.72,54.15,20.7,0,low,0,1,2025-04-16T12:51:50+07:00
BATCH-2025-0048,substandard,15.71,620.78,1903.79,57.68,32.05,1,high,1,0,2025-05-23T15:37:50+07:00
