tx_id,batch_id,event_id,tx_hash,block_number,tx_time,smart_contract_event,contract_address,wallet_from,wallet_to,gas_fee,verification_status,on_chain_flag
TX-0000001,BATCH-2025-0001,EVT-000002,0xc15113ce7723f9f01808142749ad151dc6f0d3f913090ed7b98f7aeb4443072d,18750004,2025-03-26T06:42:51+07:00,WeightRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x3bc132aeb90e16a03cdb97bb8532ae6e77d50750,0x4b5f1c03ab6cd26de4b112e57075588d5b615f2c,0.003758,verified,1
TX-0000002,BATCH-2025-0001,EVT-000006,0xe70afd5a8e0c89669fb68f36cf00d2dc36494198ed0b6c42ff24dc39055d7320,18750006,2025-04-01T20:53:10+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x3bc132aeb90e16a03cdb97bb8532ae6e77d50750,0x6cc44eb2ed41a0e4ce58ebd34572f2a35818e3fd,0.002765,verified,1
TX-0000003,BATCH-2025-0001,EVT-000007,0x9906be2b03a175302f84b2d2c4e669f10945c03927024981ffff3fdc82ca6b79,18750009,2025-04-02T20:58:59+07:00,InspectionRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x3bc132aeb90e16a03cdb97bb8532ae6e77d50750,0xd9f02eddcb83d27ed701877d1ae0b5d143eb5090,0.000785,verified,1
TX-0000004,BATCH-2025-0001,EVT-000009,0x8dfdd2d48df9e0c8320871d09c0d2e1d1e1ae8d91ba3c2fb90dfbdad503a9b00,18750004,2025-04-06T06:09:00+07:00,QualityVerified,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x3bc132aeb90e16a03cdb97bb8532ae6e77d50750,0xd9f02eddcb83d27ed701877d1ae0b5d143eb5090,0.002026,verified,1
TX-0000005,BATCH-2025-0001,EVT-000012,0x93d813341fdc0e88db19fb0c95b1148ad948a950a044bfcd9de4d9f2c3883228,18750010,2025-04-09T06:15:53+07:00,PackingCompleted,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x3bc132aeb90e16a03cdb97bb8532ae6e77d50750,0x4b5f1c03ab6cd26de4b112e57075588d5b615f2c,0.004226,verified,1
TX-0000006,BATCH-2025-0001,EVT-000013,0x3f3b4b084a9f837626953baebc37ada4b74d65305ea85040721c64898a2f76f8,18750006,2025-04-09T13:00:19+07:00,BatchAnchored,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x3bc132aeb90e16a03cdb97bb8532ae6e77d50750,0x4c605d9ad24149b7bdf6667570cc1aa29d1a79f5,0.001328,verified,1
TX-0000007,BATCH-2025-0001,EVT-000014,0xd6628e25f19fa90b030263d5dbbe8fc2b3eb7f678a16b28be9614437e5b996e8,18750028,2025-04-10T06:41:31+07:00,LogisticsLoaded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x8f330f4383c0849a28f3cbfe4a845a5aa66a1579,0xf323bbde50eedc407bd0f187f551e916cd014170,0.003825,verified,1
TX-0000008,BATCH-2025-0002,EVT-000018,0xcab3c68d20a77b4e68c34aba025e3b7d662319f431d942c74572acc8b1ebe239,18750008,2025-05-14T09:15:24+07:00,WeightRecorded,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xe4277e10abaf04d118fd7b33ab96983ef5b2b5fc,0x40c89bb0988508ced18ccd78dba2fa8f9ab8f355,0.00276,pending,1
TX-0000009,BATCH-2025-0002,EVT-000018,0x92745b9a110da4d00b0f118b75275aea27e9fe037d41d3562f2f9efa69e48f17,18750045,2025-05-14T09:29:24+07:00,WeightRecordedRetry,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0x415a9da920329d71427d10f3f3e3ae63081fc5c1,0x7a943c3465e4fc164a915cd0407aa0bddd38e21b,0.005007,verified,1
TX-0000010,BATCH-2025-0002,EVT-000021,0x8dcd820789d9bc7747673b34c80a289644ef9fe9b197868f2d32c1278adf645c,18750020,2025-05-16T04:11:42+07:00,StorageRegistered,0x6079942a1146b4b1b2df2f862b5a5d75b1b4c146,0xe4277e10abaf04d118fd7b33ab96983ef5b2b5fc,0xbd2baea8453c47c34f4d8ce7989c98c5846b9df1,0.002727,pending,1
