edge_id,source_node_id,target_node_id,relation_type,timestamp,event_id,batch_id,event_type,process_stage,actor_id,facility_id,machine_id,duration_min,input_weight_kg,output_weight_kg,loss_weight_kg,process_status,delay_flag,anomaly_flag,route_variant,time_since_prev_min,capacity_utilization,reroute_flag,rework_flag,estimated_moisture,estimated_humidity_pressure,estimated_temp_stress,condition_score
EDGE-000001,FAR-SSM-020,BATCH-2025-0001,produces,2025-03-25T17:28:00+07:00,EVT-000001,BATCH-2025-0001,harvest,harvest,FAR-SSM-020,UNASSIGNED_FACILITY,UNASSIGNED_MACHINE,155,0.0,1712.3,0.0,success,0,0,direct_milling,0.0,0.0,0,0,28.88,0.615,0.0,0.615
EDGE-000002,BATCH-2025-0001,FAC-SSM-001,arrives_at,2025-03-26T06:38:00+07:00,EVT-000002,BATCH-2025-0001,weighing,weighing,FAR-SSM-020,FAC-SSM-001,UNASSIGNED_MACHINE,56,1712.3,1713.28,0.0,success,0,0,direct_milling,420.0,0.143,0,0,28.88,0.615,0.0,0.615
EDGE-000003,BATCH-2025-0001,MCH-DRY-X009,processed_by,2025-03-26T10:20:42+07:00,EVT-000003,BATCH-2025-0001,drying,drying,FAC-SSM-001,FAC-SSM-001,MCH-DRY-X009,948,1713.28,1556.03,157.25,success,0,1,direct_milling,166.71,0.144,0,0,18.668,0.554,0.509,0.926
EDGE-000004,BATCH-2025-0001,LAB-X009,quality_checked_by,2025-03-28T06:31:28+07:00,EVT-000004,BATCH-2025-0001,inspection,quality_check,LAB-X009,LAB-X009,UNASSIGNED_MACHINE,77,1556.03,1556.03,0.0,success,0,0,direct_milling,1354.76,0.286,0,1,18.668,0.554,0.509,1.304
EDGE-000005,BATCH-2025-0001,MCH-DRY-X009,reprocessed_by,2025-04-01T16:41:19+07:00,EVT-000005,BATCH-2025-0001,re_drying,drying,FAC-SSM-001,FAC-SSM-001,MCH-DRY-X009,159,1556.03,1516.03,40.0,warning,1,0,direct_milling,6292.86,0.173,0,1,14.884,0.272,0.572,1.537
EDGE-000006,BATCH-2025-0001,VAL-003,verified_by,2025-04-01T20:47:08+07:00,EVT-000006,BATCH-2025-0001,blockchain_anchor,traceability,VAL-003,VAL-003,UNASSIGNED_MACHINE,5,1516.03,1516.03,0.0,success,0,0,direct_milling,86.8,0.144,0,0,14.884,0.272,0.572,0.215
EDGE-000007,BATCH-2025-0001,LAB-X010,quality_checked_by,2025-04-02T20:58:40+07:00,EVT-000007,BATCH-2025-0001,inspection,quality_check,LAB-X010,LAB-X010,UNASSIGNED_MACHINE,57,1516.03,1516.03,0.0,success,1,0,direct_milling,1446.54,0.357,0,0,14.884,0.272,0.572,0.374
EDGE-000008,BATCH-2025-0001,WRH-X010,stored_at,2025-04-03T18:45:30+07:00,EVT-000008,BATCH-2025-0001,storage,storage,WRH-X010,WRH-X010,UNASSIGNED_MACHINE,1357,1516.03,1496.55,19.48,warning,0,0,direct_milling,1249.84,0.288,0,0,14.884,0.532,0.572,0.401
EDGE-000009,BATCH-2025-0001,LAB-X010,quality_checked_by,2025-04-06T06:01:02+07:00,EVT-000009,BATCH-2025-0001,quality_check,quality_check,LAB-X010,LAB-X010,UNASSIGNED_MACHINE,71,1496.55,1496.55,0.0,success,1,1,direct_milling,1851.53,0.394,0,0,14.884,0.532,0.572,0.532
EDGE-000010,BATCH-2025-0001,MCH-MIL-X010,milled_by,2025-04-07T20:23:07+07:00,EVT-000010,BATCH-2025-0001,milling,milling,FAC-SSM-001,FAC-SSM-001,MCH-MIL-X010,343,1496.55,1051.99,444.56,success,1,0,direct_milling,2231.1,0.46,0,0,14.884,0.532,1.288,0.497
